pharmacy_id,pharmacy_name,address,city,state,zip_code,phone,manager_name,hours_of_operation,services_offered
PH001,AHF Pharmacy - West Hollywood,8745 Santa Monica Blvd,West Hollywood,CA,90069,323-555-0201,Maria Gonzalez,Mon-Fri 8AM-8PM; Sat 9AM-6PM; Sun 10AM-4PM,"Prescription Filling, Immunizations, Health Screenings, Medication Therapy Management"
PH002,AHF Pharmacy - Beverly Hills,9201 Sunset Blvd,Beverly Hills,CA,90210,310-555-0202,James Park,Mon-Fri 7AM-9PM; Sat 8AM-7PM; Sun 9AM-5PM,"Prescription Filling, Immunizations, Health Screenings, Specialty Medications"
PH003,AHF Pharmacy - Santa Monica,1223 Wilshire Blvd,Santa Monica,CA,90401,310-555-0203,Linda Chen,Mon-Fri 8AM-8PM; Sat 9AM-6PM; Sun Closed,"Prescription Filling, Immunizations, Compounding"
PH004,AHF Pharmacy - Pasadena,145 N Lake Ave,Pasadena,CA,91101,626-555-0204,Robert Kim,Mon-Fri 8AM-7PM; Sat 9AM-5PM; Sun Closed,"Prescription Filling, Health Screenings, Diabetes Education"
PH005,AHF Pharmacy - Long Beach,2801 Atlantic Ave,Long Beach,CA,90806,562-555-0205,Jennifer Lopez,Mon-Fri 8AM-8PM; Sat 9AM-6PM; Sun 10AM-4PM,"Prescription Filling, Immunizations, Blood Pressure Monitoring"
PH006,AHF Pharmacy - Glendale,1134 N Brand Blvd,Glendale,CA,91202,818-555-0206,Michael Rodriguez,Mon-Fri 8AM-7PM; Sat 9AM-5PM; Sun Closed,"Prescription Filling, Medication Synchronization, Health Screenings"
PH007,AHF Pharmacy - Burbank,2567 W Olive Ave,Burbank,CA,91505,818-555-0207,Sarah Williams,Mon-Fri 8AM-8PM; Sat 9AM-6PM; Sun 10AM-3PM,"Prescription Filling, Immunizations, Medication Reviews"
PH008,AHF Pharmacy - Torrance,21515 Hawthorne Blvd,Torrance,CA,90503,310-555-0208,David Martinez,Mon-Fri 8AM-7PM; Sat 9AM-5PM; Sun Closed,"Prescription Filling, Health Screenings, Specialty Medications"
PH009,AHF Pharmacy - Inglewood,330 E Queen St,Inglewood,CA,90301,310-555-0209,Lisa Anderson,Mon-Fri 8AM-8PM; Sat 9AM-6PM; Sun 10AM-4PM,"Prescription Filling, Immunizations, Diabetes Education"
PH010,AHF Pharmacy - Manhattan Beach,1142 Manhattan Ave,Manhattan Beach,CA,90266,310-555-0210,Christopher Taylor,Mon-Fri 8AM-7PM; Sat 9AM-5PM; Sun Closed,"Prescription Filling, Health Screenings, Compounding"
PH011,AHF Pharmacy - Culver City,4081 Inglewood Ave,Culver City,CA,90232,310-555-0211,Amanda Thomas,Mon-Fri 8AM-8PM; Sat 9AM-6PM; Sun 10AM-3PM,"Prescription Filling, Immunizations, Medication Therapy Management"
PH012,AHF Pharmacy - Redondo Beach,1716 S Catalina Ave,Redondo Beach,CA,90277,310-555-0212,Daniel Jackson,Mon-Fri 8AM-7PM; Sat 9AM-5PM; Sun Closed,"Prescription Filling, Health Screenings, Blood Pressure Monitoring"
PH013,AHF Pharmacy - El Segundo,230 N Sepulveda Blvd,El Segundo,CA,90245,310-555-0213,Michelle White,Mon-Fri 8AM-8PM; Sat 9AM-6PM; Sun 10AM-4PM,"Prescription Filling, Immunizations, Specialty Medications"
PH014,AHF Pharmacy - Hawthorne,12517 Hawthorne Blvd,Hawthorne,CA,90250,310-555-0214,Kevin Harris,Mon-Fri 8AM-7PM; Sat 9AM-5PM; Sun Closed,"Prescription Filling, Health Screenings, Medication Reviews"
